,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
752,2019,4,2,839,499,3
753,2019,4,3,791,511,4
754,2019,4,4,667,437,5
755,2019,4,0,703,500,8
756,2019,4,1,844,535,9
757,2019,4,2,811,547,10
758,2019,4,3,791,512,11
759,2019,4,4,568,0,12
760,2019,4,0,743,474,15
761,2019,4,1,865,541,16
762,2019,4,2,729,391,17
763,2019,4,0,660,487,22
764,2019,4,1,858,556,23
765,2019,4,2,812,504,24
766,2019,4,3,785,506,25
767,2019,4,4,672,408,26
768,2019,4,0,738,495,29
769,2019,4,1,874,485,30
770,2019,5,3,805,546,2
771,2019,5,4,693,380,3
772,2019,5,0,780,536,6
773,2019,5,1,880,581,7
774,2019,5,2,971,546,8
775,2019,5,3,843,538,9
776,2019,5,4,655,379,10
777,2019,5,0,684,513,13
778,2019,5,1,873,583,14
779,2019,5,2,699,450,15
780,2019,5,3,818,600,16
781,2019,5,4,771,447,17
782,2019,5,0,775,546,20
783,2019,5,1,963,559,21
784,2019,5,2,876,598,22
785,2019,5,3,937,581,23
786,2019,5,4,708,397,24
787,2019,5,0,725,574,27
788,2019,5,1,954,653,28
789,2019,5,2,905,575,29
790,2019,5,3,919,557,30
791,2019,5,4,757,379,31
792,2019,6,0,725,557,3
793,2019,6,1,931,598,4
794,2019,6,2,939,591,5
795,2019,6,3,868,553,6
796,2019,6,4,715,398,7
797,2019,6,0,746,551,10
798,2019,6,1,944,565,11
799,2019,6,2,901,536,12
800,2019,6,3,832,486,13
801,2019,6,4,579,302,14
802,2019,6,0,746,548,17
803,2019,6,1,915,506,18
804,2019,6,2,803,448,19
805,2019,6,4,468,230,21
806,2019,6,0,664,443,24
807,2019,6,1,678,429,25
808,2019,6,2,653,405,26
809,2019,6,3,593,355,27
810,2019,6,4,461,245,28
811,2019,7,0,368,255,1
812,2019,7,1,466,260,2
813,2019,7,2,402,208,3
814,2019,7,3,297,146,4
815,2019,7,0,139,0,8
816,2019,7,1,153,0,9
817,2019,7,2,153,0,10
818,2019,7,3,130,0,11
819,2019,7,4,113,0,12
820,2019,7,0,118,28,15
821,2019,7,1,149,26,16
822,2019,7,2,140,26,17
823,2019,7,3,133,21,18
824,2019,7,4,94,0,19
825,2019,7,0,118,0,22
826,2019,7,1,125,0,23
827,2019,7,2,127,0,24
828,2019,7,3,120,0,25
829,2019,7,4,130,0,26
830,2019,7,0,135,0,29
831,2019,7,1,129,0,30
832,2019,7,2,135,0,31
833,2019,8,3,150,0,1
834,2019,8,4,133,0,2
835,2019,8,0,801,544,5
836,2019,8,1,912,539,6
837,2019,8,2,927,587,7
838,2019,8,3,948,550,8
839,2019,8,4,661,338,9
840,2019,8,0,834,633,12
841,2019,8,1,1006,643,13
842,2019,8,2,975,642,14
843,2019,8,3,913,602,15
844,2019,8,4,750,407,16
845,2019,8,0,863,609,19
846,2019,8,1,1022,663,20
847,2019,8,2,991,628,21
848,2019,8,3,969,649,22
849,2019,8,4,773,406,23
850,2019,8,0,824,593,26
851,2019,8,1,957,664,27
852,2019,8,2,989,714,28
853,2019,8,3,931,577,29
854,2019,8,4,679,368,30
855,2019,9,0,839,607,2
856,2019,9,1,958,654,3
857,2019,9,2,918,670,4
858,2019,9,3,938,591,5
859,2019,9,4,724,357,6
860,2019,9,0,824,579,9
861,2019,9,1,963,640,10
862,2019,9,2,962,640,11
863,2019,9,3,952,611,12
864,2019,9,4,781,405,13
865,2019,9,0,867,587,16
866,2019,9,1,991,651,17
867,2019,9,2,927,655,18
868,2019,9,3,956,650,19
869,2019,9,4,752,384,20
870,2019,9,0,817,598,23
871,2019,9,1,970,615,24
872,2019,9,2,966,607,25
873,2019,9,3,845,547,26
874,2019,9,4,717,357,27
875,2019,9,0,814,563,30
876,2019,10,1,910,629,1
877,2019,10,2,919,581,2
878,2019,10,3,839,554,3
879,2019,10,4,684,324,4
880,2019,10,0,774,530,7
881,2019,10,1,924,579,8
882,2019,10,2,849,585,9
883,2019,10,3,812,534,10
884,2019,10,4,698,353,11
885,2019,10,1,821,616,15
886,2019,10,2,907,611,16
887,2019,10,3,842,553,17
888,2019,10,4,678,365,18
889,2019,10,0,775,582,21
890,2019,10,1,908,639,22
891,2019,10,2,908,599,23
892,2019,10,3,803,501,24
893,2019,10,4,589,298,25
894,2019,10,1,836,550,29
895,2019,10,2,866,567,30
896,2019,10,3,782,539,31
897,2019,11,4,640,333,1
898,2019,11,0,798,533,4
899,2019,11,1,915,562,5
900,2019,11,2,852,581,6
901,2019,11,3,809,485,7
902,2019,11,4,677,329,8
903,2019,11,0,743,526,11
904,2019,11,1,865,599,12
905,2019,11,2,871,583,13
906,2019,11,3,717,398,14
907,2019,11,0,745,519,18
908,2019,11,1,873,545,19
909,2019,11,2,819,546,20
910,2019,11,3,834,519,21
911,2019,11,4,656,350,22
912,2019,11,0,735,514,25
913,2019,11,1,823,499,26
914,2019,11,2,806,507,27
915,2019,11,3,776,480,28
916,2019,11,4,599,256,29
917,2019,12,0,645,473,2
918,2019,12,1,702,408,3
919,2019,12,2,664,383,4
